TimeStep Hunter1_X Hunter1_Y Hunter2_X Hunter2_Y Hunter3_X Hunter3_Y
0 1.7500 1.5000 1.5000 1.7500 1.2500 1.5000
1 1.7595 1.5030 1.5041 1.7409 1.2581 1.4941
2 1.7599 1.5021 1.4990 1.7279 1.2729 1.4808
3 1.7519 1.4960 1.5038 1.7158 1.2795 1.4620
4 1.7407 1.4839 1.4999 1.7046 1.2932 1.4474
5 1.7326 1.4779 1.5058 1.6925 1.3093 1.4307
6 1.7247 1.4718 1.5020 1.6785 1.3191 1.4194
7 1.7169 1.4656 1.5081 1.6657 1.3386 1.4061
8 1.7092 1.4592 1.5042 1.6522 1.3483 1.3939
9 1.7015 1.4528 1.5103 1.6395 1.3679 1.3812
10 1.6939 1.4463 1.5080 1.6259 1.3776 1.3696
11 1.6864 1.4397 1.5157 1.6134 1.3972 1.3577
12 1.6791 1.4328 1.5134 1.6002 1.4063 1.3535
13 1.6720 1.4258 1.5216 1.5946 1.4153 1.3491
14 1.6652 1.4185 1.5295 1.5885 1.4242 1.3445
15 1.6628 1.4088 1.5290 1.5771 1.4322 1.3385
16 1.6604 1.3991 1.5369 1.5709 1.4395 1.3317
17 1.6584 1.3893 1.5362 1.5597 1.4458 1.3239
18 1.6569 1.3794 1.5439 1.5534 1.4510 1.3154
19 1.6562 1.3694 1.5430 1.5422 1.4553 1.3063
20 1.6555 1.3594 1.5520 1.5321 1.4585 1.2969
21 1.6550 1.3494 1.5590 1.5249 1.4610 1.2872
22 1.6540 1.3395 1.5569 1.5136 1.4545 1.2796
23 1.6540 1.3295 1.5641 1.5066 1.4580 1.2702
24 1.6537 1.3195 1.5621 1.4955 1.4606 1.2606
25 1.6532 1.3095 1.5701 1.4848 1.4625 1.2508
26 1.6530 1.2995 1.5681 1.4742 1.4640 1.2409
27 1.6526 1.2895 1.5740 1.4661 1.4571 1.2337
28 1.6533 1.2795 1.5705 1.4547 1.4602 1.2241
29 1.6533 1.2695 1.5765 1.4467 1.4622 1.2144
30 1.6531 1.2595 1.5731 1.4354 1.4638 1.2045
31 1.6527 1.2496 1.5788 1.4272 1.4649 1.1945
32 1.6524 1.2396 1.5750 1.4156 1.4660 1.1846
33 1.6520 1.2296 1.5806 1.4073 1.4591 1.1774
34 1.6528 1.2196 1.5770 1.3953 1.4618 1.1677
35 1.6528 1.2096 1.5828 1.3871 1.4637 1.1579
36 1.6526 1.1996 1.5793 1.3754 1.4651 1.1480
37 1.6521 1.1896 1.5848 1.3671 1.4662 1.1381
38 1.6517 1.1796 1.5811 1.3551 1.4671 1.1281
39 1.6513 1.1696 1.5865 1.3467 1.4678 1.1182
40 1.6509 1.1596 1.5827 1.3345 1.4610 1.1109
41 1.6561 1.1511 1.5887 1.3265 1.4636 1.1012
42 1.6490 1.1441 1.5931 1.3175 1.4655 1.0914
43 1.6547 1.1359 1.5978 1.3087 1.4693 1.0822
44 1.6476 1.1288 1.6025 1.2998 1.4621 1.0752
45 1.6544 1.1215 1.6081 1.2915 1.4684 1.0674
46 1.6526 1.1116 1.6120 1.2823 1.4620 1.0596
47 1.6509 1.1018 1.6147 1.2727 1.4558 1.0518
48 1.6490 1.0920 1.6160 1.2628 1.4496 1.0440
49 1.6470 1.0822 1.6163 1.2528 1.4437 1.0359
50 1.6448 1.0724 1.6161 1.2428 1.4382 1.0276
