TimeStep Obstacle1_X Obstacle1_Y Obstacle2_X Obstacle2_Y Obstacle3_X Obstacle3_Y
0 0.9000 1.2000 2.1000 0.9000 1.2000 2.1000
1 0.9071 1.2071 2.1000 0.9100 1.1929 2.0929
2 0.9141 1.2141 2.1000 0.9200 1.1859 2.0859
3 0.9212 1.2212 2.1000 0.9300 1.1788 2.0788
4 0.9283 1.2283 2.1000 0.9400 1.1717 2.0717
5 0.9354 1.2354 2.1000 0.9500 1.1646 2.0646
6 0.9424 1.2424 2.1000 0.9600 1.1576 2.0576
7 0.9495 1.2495 2.1000 0.9700 1.1505 2.0505
8 0.9566 1.2566 2.1000 0.9800 1.1434 2.0434
9 0.9636 1.2636 2.1000 0.9900 1.1364 2.0364
10 0.9707 1.2707 2.1000 1.0000 1.1293 2.0293
11 0.9778 1.2778 2.1000 1.0100 1.1222 2.0222
12 0.9849 1.2849 2.1000 1.0200 1.1151 2.0151
13 0.9919 1.2919 2.1000 1.0300 1.1081 2.0081
14 0.9990 1.2990 2.1000 1.0400 1.1010 2.0010
15 1.0061 1.3061 2.1000 1.0500 1.0939 1.9939
16 1.0131 1.3131 2.1000 1.0600 1.0869 1.9869
17 1.0202 1.3202 2.1000 1.0700 1.0798 1.9798
18 1.0273 1.3273 2.1000 1.0800 1.0727 1.9727
19 1.0344 1.3344 2.1000 1.0900 1.0656 1.9656
20 1.0414 1.3414 2.1000 1.1000 1.0586 1.9586
21 1.0485 1.3485 2.1000 1.1100 1.0515 1.9515
22 1.0556 1.3556 2.1000 1.1200 1.0444 1.9444
23 1.0626 1.3626 2.1000 1.1300 1.0374 1.9374
24 1.0697 1.3697 2.1000 1.1400 1.0303 1.9303
25 1.0768 1.3768 2.1000 1.1500 1.0232 1.9232
26 1.0838 1.3838 2.1000 1.1600 1.0162 1.9162
27 1.0909 1.3909 2.1000 1.1700 1.0091 1.9091
28 1.0980 1.3980 2.1000 1.1800 1.0020 1.9020
29 1.1051 1.4051 2.1000 1.1900 0.9949 1.8949
30 1.1121 1.4121 2.1000 1.2000 0.9879 1.8879
31 1.1192 1.4192 2.1000 1.2100 0.9808 1.8808
32 1.1263 1.4263 2.1000 1.2200 0.9737 1.8737
33 1.1333 1.4333 2.1000 1.2300 0.9667 1.8667
34 1.1404 1.4404 2.1000 1.2400 0.9596 1.8596
35 1.1475 1.4475 2.1000 1.2500 0.9525 1.8525
36 1.1546 1.4546 2.1000 1.2600 0.9454 1.8454
37 1.1616 1.4616 2.1000 1.2700 0.9384 1.8384
38 1.1687 1.4687 2.1000 1.2800 0.9313 1.8313
39 1.1758 1.4758 2.1000 1.2900 0.9242 1.8242
40 1.1828 1.4828 2.1000 1.3000 0.9172 1.8172
41 1.1899 1.4899 2.1000 1.3100 0.9101 1.8101
42 1.1970 1.4970 2.1000 1.3200 0.9030 1.8030
43 1.2041 1.5041 2.1000 1.3300 0.8959 1.7959
44 1.2111 1.5111 2.1000 1.3400 0.8889 1.7889
45 1.2182 1.5182 2.1000 1.3500 0.8818 1.7818
46 1.2253 1.5253 2.1000 1.3600 0.8747 1.7747
47 1.2323 1.5323 2.1000 1.3700 0.8677 1.7677
48 1.2394 1.5394 2.1000 1.3800 0.8606 1.7606
49 1.2465 1.5465 2.1000 1.3900 0.8535 1.7535
50 1.2536 1.5536 2.1000 1.4000 0.8464 1.7464
51 1.2606 1.5606 2.1000 1.4100 0.8394 1.7394
52 1.2677 1.5677 2.1000 1.4200 0.8323 1.7323
53 1.2748 1.5748 2.1000 1.4300 0.8252 1.7252
54 1.2818 1.5818 2.1000 1.4400 0.8182 1.7182
55 1.2889 1.5889 2.1000 1.4500 0.8111 1.7111
56 1.2960 1.5960 2.1000 1.4600 0.8040 1.7040
57 1.3031 1.6031 2.1000 1.4700 0.7969 1.6969
58 1.3101 1.6101 2.1000 1.4800 0.7899 1.6899
59 1.3172 1.6172 2.1000 1.4900 0.7828 1.6828
60 1.3243 1.6243 2.1000 1.5000 0.7757 1.6757
61 1.3313 1.6313 2.1000 1.5100 0.7687 1.6687
62 1.3384 1.6384 2.1000 1.5200 0.7616 1.6616
63 1.3455 1.6455 2.1000 1.5300 0.7545 1.6545
64 1.3525 1.6525 2.1000 1.5400 0.7475 1.6475
65 1.3596 1.6596 2.1000 1.5500 0.7404 1.6404
66 1.3667 1.6667 2.1000 1.5600 0.7333 1.6333
67 1.3738 1.6738 2.1000 1.5700 0.7262 1.6262
